,means,stds,params,Model,Recall,F1_Score,Iteration,AUC
0,0.727390761548065,0.0621045495712631,"{'early_stopping': False, 'eta0': 0.1, 'max_iter': 10, 'penalty': 'l1'}",Perceptron,0.635126050420168,0.576778433982523,4,0.7061268709504003
0,0.7979608822305451,0.0386576385894852,"{'C': 10, 'max_iter': 10000, 'penalty': 'l2'}",LinearSVC,0.6928571428571428,0.7219009003582851,4,0.8534689188806837
0,0.8065751144402831,0.0392257785833029,"{'alpha': 0.1, 'learning_rate': 'optimal', 'loss': 'log', 'penalty': 'l2'}",SGDClassifier,0.6607563025210086,0.7182175352997111,4,0.8539905497552557
0,0.8133083645443197,0.0429716848691073,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 13, 'min_samples_split': 20, 'splitter': 'random'}",DecisionTreeClassifier,0.646218487394958,0.7248367944423613,4,0.8578416093710212
0,0.8159176029962547,0.0394505911649365,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 1000}",RandomForestClassifier,0.6694957983193277,0.7314314852208201,4,0.8624794725971195
0,0.8230420307948398,0.0345372251811923,"{'colsample_bytree': 1.0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 2000, 'subsample': 1.0, 'use_label_encoder': False}",XGBClassifier,0.6607563025210084,0.7373076611732654,4,0.8655716549245961
0,0.8118060757386598,0.0438146957081515,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",Logistic_Regression,0.6930252100840336,0.739382520620119,5,0.856677078912373
0,0.8204327923429048,0.0376725071311147,"{'C': 1.0, 'gamma': 0.1, 'kernel': 'rbf'}",SVC,0.7163025210084033,0.7488230021093216,5,0.8639543898367427
0,0.7122888056595921,0.0398421957655067,{'var_smoothing': 0.07906043210907697},GaussianNB,0.4327731092436974,0.5315285698252497,4,0.8100366692131399
0,0.7122888056595921,0.0398421957655067,{'var_smoothing': 0.07906043210907697},GaussianNB,0.4327731092436974,0.5315285698252497,5,0.8100366692131399
0,0.7122888056595921,0.0398421957655067,{'var_smoothing': 0.07906043210907697},GaussianNB,0.4327731092436974,0.5315285698252497,5,0.8100366692131399
0,0.7519392426133997,0.0539298338116392,"{'early_stopping': False, 'eta0': 0.0001, 'max_iter': 10, 'penalty': None}",Perceptron,0.7287394957983193,0.6645371953064984,5,0.7920989163342105
0,0.8080690803162712,0.0407542024919668,"{'C': 0.01, 'max_iter': 1, 'penalty': 'l2'}",LinearSVC,0.690420168067227,0.72041558697375,5,0.849113997113997
0,0.8099250936329588,0.0437849477365607,"{'alpha': 0.01, 'learning_rate': 'optimal', 'loss': 'log', 'penalty': 'l2'}",SGDClassifier,0.7018487394957983,0.7372889948801532,5,0.8573817729111847
0,0.8245526425301707,0.0348904667034928,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 4, 'splitter': 'best'}",DecisionTreeClassifier,0.731344537815126,0.748040921311696,5,0.8344242707183884
0,0.8353724511027881,0.031847040848216,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",RandomForestClassifier,0.7252941176470589,0.7708968301734191,5,0.8675018532665592
0,0.8361256762380359,0.0384542654758767,"{'colsample_bytree': 1.0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 9, 'min_child_weight': 6, 'n_estimators': 2000, 'subsample': 1.0, 'use_label_encoder': False}",XGBClassifier,0.7108403361344537,0.7630857235156848,5,0.8764565260447613
0,0.8080649188514357,0.0422233419391906,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",Logistic_Regression,0.6989075630252101,0.7395990502558942,6,0.8577707608295844
0,0.8222846441947566,0.0378684256750436,"{'C': 1.0, 'gamma': 0.1, 'kernel': 'rbf'}",SVC,0.7191596638655462,0.7527761873929257,6,0.8578800894095011
0,0.7141573033707866,0.039457304922713,{'var_smoothing': 0.07906043210907697},GaussianNB,0.4298319327731092,0.5318926531103856,6,0.8111289364230541
0,0.7609196837286727,0.0387310438603554,"{'early_stopping': True, 'eta0': 0.001, 'max_iter': 10, 'penalty': 'l1'}",Perceptron,0.7283193277310925,0.6336451652080622,6,0.797565939507116
0,0.8043362463587181,0.0394268818508923,"{'C': 0.01, 'max_iter': 10, 'penalty': 'l2'}",LinearSVC,0.6960504201680673,0.7324038814682965,6,0.8589307642248819
0,0.8102829796088222,0.0335580351466211,"{'alpha': 0.001, 'learning_rate': 'optimal', 'loss': 'log', 'penalty': 'l2'}",SGDClassifier,0.710672268907563,0.7308320158029933,6,0.8525963274198569
0,0.8267831876820642,0.0330908955432393,"{'criterion': 'gini', 'max_features': None, 'min_samples_leaf': 5, 'min_samples_split': 8, 'splitter': 'best'}",DecisionTreeClassifier,0.7254621848739495,0.748268527338929,6,0.8389589451942392
0,0.8376113191843527,0.0330979944123569,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",RandomForestClassifier,0.7310924369747899,0.777131849830286,6,0.8648905299493534
0,0.8417478152309613,0.0355637226612548,"{'colsample_bytree': 1.0, 'gamma': 1, 'learning_rate': 0.01, 'max_depth': 9, 'min_child_weight': 6, 'n_estimators': 2000, 'subsample': 1.0, 'use_label_encoder': False}",XGBClassifier,0.725546218487395,0.7714506254122881,6,0.8798043176866706
0,0.8129296712442778,0.0437760468577415,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}",Logistic_Regression,0.6930252100840336,0.738251810534185,7,0.8565172169878051
0,0.8219101123595504,0.0385026600099878,"{'C': 1.0, 'gamma': 0.1, 'kernel': 'poly'}",SVC,0.669579831932773,0.7386484178973444,7,0.8710167218402513
0,0.7130378693300045,0.0416070948200912,{'var_smoothing': 0.03393221771895328},GaussianNB,0.4532773109243697,0.5429989006041109,7,0.8058787312904961
0,0.7366250520183104,0.0402543096818533,"{'early_stopping': False, 'eta0': 0.0001, 'max_iter': 10, 'penalty': 'l2'}",Perceptron,0.7405882352941175,0.6464689958481593,7,0.7943243640890699
0,0.8084352892218061,0.0434682006182711,"{'C': 0.01, 'max_iter': 10, 'penalty': 'l2'}",LinearSVC,0.6871428571428572,0.7316424656531539,7,0.8570443369266899
0,0.8125509779442363,0.0445313613463643,"{'alpha': 0.01, 'learning_rate': 'optimal', 'loss': 'log', 'penalty': 'l2'}",SGDClassifier,0.701764705882353,0.7349317640245061,7,0.8579524658348188
